cell	UMAP1	UMAP2	PatientID	condition	fib_state	neut_state	pseudotime
"SAM24410863_849907"	4.12479451674196	-4.96050918130692	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.4350147152432
"SAM24410863_537160"	4.10083845633241	-4.39356601266678	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	15.9138472082408
"SAM24410863_96815"	4.12753013151857	-5.15596759347733	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.6245363935936
"SAM24410863_116027"	3.85374477881166	-4.41913974313553	"P013"	"Inflamed UC"	"Resting crypt-top fibroblast"	NA	15.8548671776455
"SAM24410863_277015"	4.14401582258913	-5.0522583725911	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.5276034110512
"SAM24410863_139661"	4.16353777426454	-4.32590568094071	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.1689051246369
"SAM24410863_453921"	4.15535739439699	-4.42635285882767	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	15.9522563880882
"SAM24410863_393784"	3.96781829375002	-4.78156411676224	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.2452538574951
"SAM24410863_169398"	4.03165129202577	-4.67676961450394	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.1529582099881
"SAM24410863_25469"	4.1129532195923	-4.45389354257401	"P013"	"Inflamed UC"	"Resting crypt-top fibroblast"	NA	15.9664492080495
"SAM24410863_150943"	4.10544565695497	-5.08841502694901	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.5572348932822
"SAM24410863_72290"	4.21263173598024	-4.80867850808915	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.3029869012258
"SAM24410863_729973"	3.94621613997194	-4.83912217645462	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.2996327289287
"SAM24410863_793223"	4.18839362639162	-4.84220349817093	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.3331920901366
"SAM24410863_539061"	4.16865423697206	-4.40424764184769	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	15.9349048873618
"SAM24410863_689920"	5.78189376372072	7.943585514738	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	9.83715703772909
"SAM24410863_281800"	4.06100252646181	-4.85365092782792	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.3285032781206
"SAM24410863_510065"	3.85468772429201	-5.25590693979081	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.7340610841883
"SAM24410863_211734"	4.03239110487672	-5.19833791284378	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.6677963138093
"SAM24410863_249478"	4.1309922077057	-4.97370708017167	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.4485034184299
"SAM24410863_737227"	4.17469290274355	-4.62140023736771	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.1286085470375
"SAM24410863_778269"	4.20111826437685	-4.60449826745804	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.1175835901559
"SAM24410863_834068"	4.14440206068727	-4.5666831734639	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.0818587038309
"SAM24410863_456773"	4.12071970480653	-5.24599111108597	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.7110343892351
"SAM24410863_372087"	4.04615643995973	-5.12692725686844	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.5964074147745
"SAM24410863_437457"	4.21624043959352	-4.45320308236893	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	15.9954705422585
"SAM24410863_883789"	4.17019418257448	-4.49094045190628	"P013"	"Inflamed UC"	"Resting crypt-top fibroblast"	NA	16.0183832568899
"SAM24410863_599774"	4.05861381071779	-4.53600394754227	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.029479871532
"SAM24410863_467715"	3.95847228544923	-5.12925422220047	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.599714312786
"SAM24410863_827916"	4.20330909270021	-4.94593322305497	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.4243459215053
"SAM24410863_210365"	3.96775034445497	-5.12877976922806	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.5991361851744
"SAM24410863_371838"	4.11783340948793	-4.96403014688309	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.4381865353664
"SAM24410863_34225"	3.81647923964235	-4.92045199899491	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.3639743391639
"SAM24410863_329494"	4.0820272304413	-4.52570712594803	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.0263459496476
"SAM24410863_875698"	4.12202456968996	-4.94341123132523	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.4178005443303
"SAM24410863_771753"	4.10317996519777	-5.17764794854935	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.6464875650856
"SAM24410863_550085"	4.01591256636354	-5.21041095285233	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.6806675165414
"SAM24410863_778675"	4.11320713537904	-4.88078248529252	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.3619940115025
"SAM24410863_627792"	4.03532413023683	-4.86209237603959	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.3336432738969
"SAM24410863_546153"	4.13215330618593	-4.95591485528763	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.4307905518263
"SAM24410863_204697"	3.98830441015932	-4.69461953668412	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.1613845094144
"SAM24410863_685007"	4.0715349056122	-5.09372413186844	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.5629226994875
"SAM24410863_55177"	4.00113061445924	-4.5472944977742	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.0237746351194
"SAM24410863_687202"	3.69671753424379	-4.53340470819291	"P013"	"Inflamed UC"	"Resting crypt-top fibroblast"	NA	15.9229885695137
"SAM24410863_413441"	4.05124190825197	-4.65783393411454	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.1385200769675
"SAM24410863_750063"	4.19764402884218	-4.37141597299393	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	15.9138472082408
"SAM24410863_649591"	4.05173018950197	-5.1638249161702	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.633240469278
